provincia,poblacion,solar,eolica,peso_poblacion,peso_solar,peso_eolica,lat,lon
ALBACETE,386464,7196,5036,0.0082,0.0464,0.0302,38.9943,-1.8585
ALACANT/ALICANTE,1881762,500,1243,0.0399,0.0032,0.0074,38.3452,-0.4810
ALMERÍA,731792,7874,3662,0.0155,0.0508,0.0219,36.8340,-2.4637
ARABA/ÁLAVA,333626,55,153,0.0071,0.0004,0.0009,42.8467,-2.6716
ASTURIAS,1011792,1,702,0.0214,0.0000,0.0042,43.3614,-5.8593
ÁVILA,158421,2845,7265,0.0034,0.0183,0.0435,40.6565,-4.7002
BADAJOZ,669943,7868,89,0.0142,0.0507,0.0005,38.8794,-6.9706
ILLES BALEARS,1173008,338,4,0.0248,0.0022,0.0000,39.5696,2.6502
BARCELONA,5714730,381,1406,0.1210,0.0025,0.0084,41.3851,2.1734
BIZKAIA,1154334,55,153,0.0244,0.0004,0.0009,43.2630,-2.9350
BURGOS,356055,2845,7265,0.0075,0.0183,0.0435,42.3439,-3.6969
CÁCERES,389558,7868,89,0.0083,0.0507,0.0005,39.4753,-6.3723
CÁDIZ,1245960,7874,3662,0.0264,0.0508,0.0219,36.5271,-6.2886
CANTABRIA,584507,5,35,0.0124,0.0000,0.0002,43.4623,-3.8099
CASTELLÓ/CASTELLÓN,587064,500,1243,0.0124,0.0032,0.0074,39.9864,-0.0513
CIUDAD REAL,492591,7196,5036,0.0104,0.0464,0.0302,38.9848,-3.9274
CÓRDOBA,776789,7874,3662,0.0165,0.0508,0.0219,37.8882,-4.7794
A CORUÑA,1120134,19,3933,0.0237,0.0001,0.0236,43.3623,-8.4115
CUENCA,195516,7196,5036,0.0041,0.0464,0.0302,40.0704,-2.1374
GIPUZKOA,726033,55,153,0.0154,0.0004,0.0009,43.3183,-1.9812
GIRONA,786596,381,1406,0.0167,0.0025,0.0084,41.9794,2.8214
GRANADA,921338,7874,3662,0.0195,0.0508,0.0219,37.1773,-3.5986
GUADALAJARA,265588,7196,5036,0.0056,0.0464,0.0302,40.6328,-3.1602
HUELVA,525835,7874,3662,0.0111,0.0508,0.0219,37.2614,-6.9447
HUESCA,224264,2801,5659,0.0047,0.0181,0.0339,42.1321,-0.4081
JAÉN,627190,7874,3662,0.0133,0.0508,0.0219,37.7796,-3.7849
LEÓN,451706,2845,7265,0.0096,0.0183,0.0435,42.5987,-5.5671
LLEIDA,439727,381,1406,0.0093,0.0025,0.0084,41.6176,0.6200
LUGO,326013,19,3933,0.0069,0.0001,0.0236,43.0121,-7.5558
MADRID,6751251,63,0,0.1430,0.0004,0.0000,40.4168,-3.7038
MÁLAGA,1695651,7874,3662,0.0359,0.0508,0.0219,36.7213,-4.4213
MURCIA,1518486,1764,264,0.0322,0.0114,0.0016,37.9922,-1.1307
NAVARRA,661537,242,1556,0.0140,0.0016,0.0093,42.8125,-1.6458
OURENSE,305223,19,3933,0.0065,0.0001,0.0236,42.3358,-7.8638
PALENCIA,159123,2845,7265,0.0034,0.0183,0.0435,42.0095,-4.5286
LAS PALMAS,1128539,294,648,0.0239,0.0019,0.0039,28.1235,-15.4363
PONTEVEDRA,944275,19,3933,0.0200,0.0001,0.0236,42.4299,-8.6446
LA RIOJA,319796,104,448,0.0068,0.0007,0.0027,42.4627,-2.4450
SALAMANCA,327338,2845,7265,0.0069,0.0183,0.0435,40.9701,-5.6635
SANTA CRUZ DE TENERIFE,1044405,294,648,0.0221,0.0019,0.0039,28.4636,-16.2518
SEGOVIA,153663,2845,7265,0.0033,0.0183,0.0435,40.9429,-4.1088
SEVILLA,1947852,7874,3662,0.0413,0.0508,0.0219,37.3891,-5.9845
SORIA,88747,2845,7265,0.0019,0.0183,0.0435,41.7666,-2.4790
TARRAGONA,822309,381,1406,0.0174,0.0025,0.0084,41.1189,1.2445
TERUEL,134545,2801,5659,0.0028,0.0181,0.0339,40.3456,-1.1065
TOLEDO,709403,7196,5036,0.0150,0.0464,0.0302,39.8628,-4.0273
VALÈNCIA/VALENCIA,2589312,500,1243,0.0548,0.0032,0.0074,39.4699,-0.3763
VALLADOLID,519361,2845,7265,0.0110,0.0183,0.0435,41.6523,-4.7245
ZAMORA,168725,2845,7265,0.0036,0.0183,0.0435,41.5063,-5.7446
ZARAGOZA,967452,2801,5659,0.0205,0.0181,0.0339,41.6488,-0.8891
TOTAL,47215329,155086,166865,1.0000,1.0000,1.0000,,
